country,2000,2002,2005
Albania,4,4,4
Algeria,0.3,0.3,0.3
Andorra,29.2,29.2,29.2
Argentina,25.4,25.4,25.4
Armenia,3.7,3.7,3.7
Australia,21.8,21.8,21.8
Austria,40.1,40.1,40.1
Azerbaijan,0.9,0.9,0.9
Bahrain,2.9,2.9,2.9
Bangladesh,3.8,3.8,3.8
Barbados,3,3,3
Belarus,21.1,21.1,21.1
Belgium,24.1,24.1,24.1
Bolivia,29.2,29.2,29.2
Bosnia and Herzegovina,35.1,35.1,35.1
Bulgaria,27.8,27.8,27.8
Burkina Faso,11.2,11.2,11.2
Cambodia,6.5,6.5,6.5
Cameroon,2.2,2.2,2.2
Canada,18.9,18.9,18.9
Chad,2.6,2.6,2.6
Chile,33.6,33.6,33.6
China,3.7,3.7,3.7
Comoros,13.5,13.5,13.5
"Congo, Dem. Rep.",2.6,2.6,2.6
"Congo, Rep.",1,1,1
Costa Rica,7.3,7.3,7.3
Cote d'Ivoire,2.4,2.4,2.4
Croatia,29.1,29.1,29.1
Cuba,28.3,28.3,28.3
Czech Republic,25.4,25.4,25.4
Denmark,30.6,30.6,30.6
Dominican Republic,13.3,13.3,13.3
Ecuador,5.8,5.8,5.8
Egypt,1.3,1.3,1.3
Eritrea,1.2,1.2,1.2
Estonia,27.5,27.5,27.5
Ethiopia,0.9,0.9,0.9
Fiji,5.1,5.1,5.1
Finland,24.4,24.4,24.4
France,26.7,26.7,26.7
Gambia,2.9,2.9,2.9
Georgia,6.3,6.3,6.3
Germany,25.8,25.8,25.8
Ghana,0.8,0.8,0.8
Greece,39.8,39.8,39.8
Guatemala,4.1,4.1,4.1
Honduras,3.4,3.4,3.4
Hungary,33.9,33.9,33.9
Iceland,26.6,26.6,26.6
India,3.8,3.8,3.8
Indonesia,4.5,4.5,4.5
Iran,5.5,5.5,5.5
Iraq,2.5,2.5,2.5
Ireland,26,26,26
Israel,17.9,17.9,17.9
Italy,19.2,19.2,19.2
Jamaica,9.2,9.2,9.2
Japan,14.3,14.3,14.3
Jordan,9.8,9.8,9.8
Kazakhstan,9.7,9.7,9.7
Kenya,2.2,2.2,2.2
Kyrgyz Republic,2.2,2.2,2.2
Lao,15.6,15.6,15.6
Latvia,24.1,24.1,24.1
Lebanon,7,7,7
Lithuania,20.8,20.8,20.8
Luxembourg,30.3,30.3,30.3
Malawi,6.2,6.2,6.2
Malaysia,2.8,2.8,2.8
Maldives,11.6,11.6,11.6
Mali,2.8,2.8,2.8
Malta,24.5,24.5,24.5
Mauritania,3.7,3.7,3.7
Mauritius,1.1,1.1,1.1
Mexico,12.4,12.4,12.4
Moldova,5.8,5.8,5.8
Mongolia,6.5,6.5,6.5
Morocco,0.3,0.3,0.3
Mozambique,3.4,3.4,3.4
Myanmar,13.6,13.6,13.6
Namibia,10.9,10.9,10.9
Nauru,52.4,52.4,52.4
Nepal,26.4,26.4,26.4
Netherlands,30.3,30.3,30.3
New Zealand,27.5,27.5,27.5
Nigeria,1.2,1.2,1.2
Norway,30.4,30.4,30.4
Oman,1.3,1.3,1.3
Pakistan,6.6,6.6,6.6
Palau,9.7,9.7,9.7
Paraguay,14.8,14.8,14.8
Philippines,9.8,9.8,9.8
Poland,27.2,27.2,27.2
Portugal,31,31,31
Romania,24.5,24.5,24.5
Russia,26.5,26.5,26.5
Samoa,23.4,23.4,23.4
Sao Tome and Principe,10.6,10.6,10.6
Saudi Arabia,3.6,3.6,3.6
Senegal,1.5,1.5,1.5
Serbia,42.3,42.3,42.3
Seychelles,7,7,7
Slovak Republic,20.1,20.1,20.1
Slovenia,21.1,21.1,21.1
South Africa,9.1,9.1,9.1
South Korea,5.7,5.7,5.7
Spain,30.9,30.9,30.9
Sri Lanka,2.6,2.6,2.6
St. Lucia,12.1,12.1,12.1
Swaziland,3.2,3.2,3.2
Sweden,24.5,24.5,24.5
Switzerland,22.2,22.2,22.2
Tanzania,4.3,4.3,4.3
Thailand,3.4,3.4,3.4
Tonga,15.8,15.8,15.8
Trinidad and Tobago,7.6,7.6,7.6
Tunisia,1.9,1.9,1.9
Turkey,19.2,19.2,19.2
Uganda,3.2,3.2,3.2
United Arab Emirates,2.6,2.6,2.6
United Kingdom,34.7,34.7,34.7
United States,21.5,21.5,21.5
Uruguay,28,28,28
Uzbekistan,1.2,1.2,1.2
Vanuatu,8.1,8.1,8.1
Venezuela,27,27,27
Vietnam,2.5,2.5,2.5
Zambia,5,5,5
Zimbabwe,4.4,4.4,4.4
